fname,fold,exist_labels
case001.png,0,1
case002.png,1,1
case003.png,2,1
case004.png,3,1
case005.png,4,1
case006.png,5,1
case007.png,6,1
case008.png,7,1
case009.png,8,1
case010.png,9,1
case011.png,0,1
case012.png,1,1
case013.png,2,1
case014.png,3,1
case015.png,4,1
case016.png,5,1
case017.png,6,1
case018.png,7,1
case019.png,8,1
case020.png,9,1
case021.png,0,1
case022.png,1,1
case023.png,2,1
case024.png,3,1
case025.png,4,1
case026.png,5,1
case027.png,6,1
case028.png,7,1
case029.png,8,1
case030.png,9,1
case031.png,0,1
case032.png,1,1
case033.png,2,1
case034.png,3,1
case035.png,4,1
case036.png,5,1
case037.png,6,1
case038.png,7,1
case039.png,8,1
case040.png,9,1
case041.png,0,1
case042.png,1,1
case043.png,2,1
case044.png,3,1
case045.png,4,1
case046.png,5,1
case047.png,6,1
case048.png,7,1
case049.png,8,1
case050.png,9,1
case051.png,0,1
case052.png,1,1
case053.png,2,1
case054.png,3,1
case055.png,4,1
case056.png,5,1
case057.png,6,1
case058.png,7,1
case059.png,8,1
case060.png,9,1
case061.png,0,1
case062.png,1,1
case063.png,2,1
case064.png,3,1
case065.png,4,1
case066.png,5,1
case067.png,6,1
case068.png,7,1
case069.png,8,1
case070.png,9,1
case071.png,0,1
case072.png,1,1
case073.png,2,1
case074.png,3,1
case075.png,4,1
case076.png,5,1
case077.png,6,1
case078.png,7,1
case079.png,8,1
case080.png,9,1
case081.png,0,1
case082.png,1,1
case083.png,2,1
case084.png,3,1
case085.png,4,1
case086.png,5,1
case087.png,6,1
case088.png,7,1
case089.png,8,1
case090.png,9,1
case091.png,0,1
case092.png,1,1
case093.png,2,1
case094.png,3,1
case095.png,4,1
case096.png,5,1
case097.png,6,1
case098.png,7,1
case099.png,8,1
case100.png,9,1
case183.png,0,1
case184.png,1,1
case185.png,2,1
case186.png,3,1
case187.png,4,1
case188.png,5,1
case189.png,6,1
case190.png,7,1
case191.png,8,1
case192.png,9,1
case193.png,0,1
case194.png,1,1
case195.png,2,1
case196.png,3,1
case197.png,4,1
case198.png,5,1
case199.png,6,1
case200.png,7,1
case201.png,8,1
case202.png,9,1
case203.png,0,1
case204.png,1,1
case205.png,2,1
case206.png,3,1
case207.png,4,1
case208.png,5,1
case209.png,6,1
case210.png,7,1
case211.png,8,1
case212.png,9,1
case213.png,0,1
case214.png,1,1
case215.png,2,1
case216.png,3,1
case217.png,4,1
case218.png,5,1
case219.png,6,1
case220.png,7,1
case221.png,8,1
case222.png,9,1
case223.png,0,1
case224.png,1,1
case225.png,2,1
case226.png,3,1
case227.png,4,1
case228.png,5,1
case229.png,6,1
case230.png,7,1
case231.png,8,1
case232.png,9,1
