fname,fold,exist_labels
case001.png,0,1
case002.png,1,1
case003.png,2,1
case004.png,3,1
case005.png,4,1
case006.png,0,1
case007.png,1,1
case008.png,2,1
case009.png,3,1
case010.png,4,1
case011.png,0,1
case012.png,1,1
case013.png,2,1
case014.png,3,1
case015.png,4,1
case016.png,0,1
case017.png,1,1
case018.png,2,1
case019.png,3,1
case020.png,4,1
case021.png,0,1
case022.png,1,1
case023.png,2,1
case024.png,3,1
case025.png,4,1
case026.png,0,1
case027.png,1,1
case028.png,2,1
case029.png,3,1
case030.png,4,1
case031.png,0,1
case032.png,1,1
case033.png,2,1
case034.png,3,1
case035.png,4,1
case036.png,0,1
case037.png,1,1
case038.png,2,1
case039.png,3,1
case040.png,4,1
case041.png,0,1
case042.png,1,1
case043.png,2,1
case044.png,3,1
case045.png,4,1
case046.png,0,1
case047.png,1,1
case048.png,2,1
case049.png,3,1
case050.png,4,1
case051.png,0,1
case052.png,1,1
case053.png,2,1
case054.png,3,1
case055.png,4,1
case056.png,0,1
case057.png,1,1
case058.png,2,1
case059.png,3,1
case060.png,4,1
case061.png,0,1
case062.png,1,1
case063.png,2,1
case064.png,3,1
case065.png,4,1
case066.png,0,1
case067.png,1,1
case068.png,2,1
case069.png,3,1
case070.png,4,1
case071.png,0,1
case072.png,1,1
case073.png,2,1
case074.png,3,1
case075.png,4,1
case076.png,0,1
case077.png,1,1
case078.png,2,1
case079.png,3,1
case080.png,4,1
case081.png,0,1
case082.png,1,1
case083.png,2,1
case084.png,3,1
case085.png,4,1
case086.png,0,1
case087.png,1,1
case088.png,2,1
case089.png,3,1
case090.png,4,1
case091.png,0,1
case092.png,1,1
case093.png,2,1
case094.png,3,1
case095.png,4,1
case096.png,0,1
case097.png,1,1
case098.png,2,1
case099.png,3,1
case100.png,4,1
